Destination ID,Country,apiSku,Product SKU,Plan Name,Data Allowanance,Validity Days,VOICE MIN,DATA,SMS,VALIDITY,BaseCost,markup,finalPrice,currency,Note / QR Code Expiry,status
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope20GB,TravelersEurope20GB,Travelers Europe eSIM 20gb - 30 Day,20GB,30 days,N/A,20GB,N/A,30 days,11.7,11.7,23.4,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"CHINA MAINLAND, MACAU",UNLIMITED5DAY5GBCHMA,UNLIMITED5DAY5GBCHMA,Unlimited China Mainland & Macau 5-day Data eSIM 5gb High Speed Data,"5GB High Speed Data, then 512kbps",5 days,N/A,"5GB High Speed Data, then 512kbps",N/A,5 days,5.73,5.73,11.46,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"CHINA MAINLAND, MACAU",UNLIMITED8DAY7GBCHMA,UNLIMITED8DAY7GBCHMA,Unlimited China Mainland & Macau 8-day Data eSIM 7gb High Speed Data,"7GB High Speed Data, then 512kbps",8 days,N/A,"7GB High Speed Data, then 512kbps",N/A,8 days,6.5,6.5,13,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,SOUTH KOREA,UNLIMITED5DAY10GBSK,UNLIMITED5DAY10GBSK,Unlimited South Korea 5-day eSIM 10gb High Speed Data,"10GB High Speed Data, then 256kbps",5 days,20 Local,"10GB High Speed Data, then 256kbps",10 Local,5 days,6.5,6.5,13,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,SOUTH KOREA,UNLIMITED8DAY20GBSK,UNLIMITED8DAY20GBSK,Unlimited South Korea 8-day eSIM 20gb High Speed Data,"20GB High Speed Data, then 256kbps",8 days,20 Local,"20GB High Speed Data, then 256kbps",10 Local,8 days,8.77,8.77,17.54,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"SINGAPORE, MALAYSIA, THAILAND, INDONESIA",UNL8DAY2GBDAILYSIN,UNL8DAY2GBDAILYSIN,"Unlimited Singapore, Malaysia, Thailand And Indonesia 8-day Data eSIM 2gb Daily High Speed Data","2GB/Day High Speed Data, then 512kbps",8 days,20 Local,"2GB/Day High Speed Data, then 512kbps",10 Local,8 days,5.5,5.5,11,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"SINGAPORE, MALAYSIA, THAILAND, INDONESIA",UNL15DAY2GBDAILYSIN,UNL15DAY2GBDAILYSIN,"Unlimited Singapore, Malaysia, Thailand And Indonesia 15-day Data eSIM 2gb Daily High Speed Data","2GB/Day High Speed Data, then 512kbps",15 days,20 Local,"2GB/Day High Speed Data, then 512kbps",10 Local,15 days,8,8,16,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,VIETNAM,UNLIMITED8DAY15GBVIE,UNLIMITED8DAY15GBVIE,Unlimited Vietnam 8-day Data eSIM 15gb High Speed Data,"15GB High Speed Data, then 256kbps",8 days,20 Local,"15GB High Speed Data, then 256kbps",10 Local,8 days,5.5,5.5,11,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,THAILAND,UNLIMITED8DAY5GBTHAI,UNLIMITED8DAY5GBTHAI,Unlimited Thailand 8-day Data eSIM 5gb High Speed Data,"5GB High Speed Data, then 256kbps",8 days,20 Local,"5GB High Speed Data, then 256kbps",10 Local,8 days,5.5,5.5,11,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"THAILAND, CAMBODIA, VIETNAM, LAOS",UNLIMITED8DAY4GBASEA,UNLIMITED8DAY4GBASEA,Unlimited Asean 8-day Data eSIM 4gb High Speed Data,"4GB High Speed Data, then 256kbps",8 days,N/A,"4GB High Speed Data, then 256kbps",N/A,8 days,5.5,5.5,11,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"MACAU, SINGAPORE, THAILAND, MALAYSIA, INDONESIA, PHILIPPINES, CAMBODIA, VIETNAM, LAOS, SRI LANKA",UNL8DAY5GBSEASIA,UNL8DAY5GBSEASIA,Unlimited Southeast Asia 8-day Data eSIM 5gb High Speed Data,"5GB High Speed Data, then 256kbps",8 days,N/A,"5GB High Speed Data, then 256kbps",N/A,8 days,6.5,6.5,13,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"SINGAPORE, MALAYSIA, THAILAND",UNL8DAY1GBDAILYSMT,UNL8DAY1GBDAILYSMT,"Unlimited Singapore, Malaysia, And Thailand 8-day Data eSIM 1gb Daily High Speed Data","1GB/Day High Speed Data, then 512kbps",8 days,20 Local,"1GB/Day High Speed Data, then 512kbps",10 Local,8 days,6.5,6.5,13,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"MACAU, JAPAN, SOUTH KOREA, SINGAPORE, THAILAND, MALAYSIA, INDONESIA, PHILIPPINES, CAMBODIA, VIETNAM, LAOS, & SRI LANKA",UNLIMITED8DAY5GBASIA,UNLIMITED8DAY5GBASIA,Unlimited Asia 8-day Data eSIM 5gb High Speed Data,"5GB High Speed, then 256kbps",8 days,N/A,"5GB High Speed, then 256kbps",N/A,8 days,7.75,7.75,15.5,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"MACAU, JAPAN, SOUTH KOREA, SINGAPORE, THAILAND, MALAYSIA, INDONESIA, PHILIPPINES, CAMBODIA, VIETNAM, LAOS, & SRI LANKA",UNLIMITED12DAY6GBASI,UNLIMITED12DAY6GBASI,Unlimited Asia 12-day Data eSIM 6gb High Speed Data,"6GB High Speed Data, then 256kbps",12 days,N/A,"6GB High Speed Data, then 256kbps",N/A,12 days,8.5,8.5,17,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"MACAU, JAPAN, SOUTH KOREA, SINGAPORE, THAILAND, MALAYSIA, INDONESIA, PHILIPPINES, CAMBODIA, VIETNAM, LAOS, & SRI LANKA",UNLIMITED30DAY10GBAS,UNLIMITED30DAY10GBAS,Unlimited Asia 30-day Data eSIM 10gb High Speed Data,"10GB High Speed Data, then 256kbps",30 days,N/A,"10GB High Speed Data, then 256kbps",N/A,30 days,10.4,10.4,20.8,GBP,"QR Code Expiry: 31/12/2025. Dial *118*35# (Check the service number, expiry date and account balance).
Dial *118*50# (Check data usage for unlimited data packs with fair usage policy)
",active
,"
ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY, USA, Canada, South Africa, Albania, Algeria, Saudi Arabia, Argentina, Armenia, Australia, Tasmania, Bangladesh, Benin, Belarus, Bosnia and Herzegovina, Botswana, Brazil, Burkina Faso, Cambodia, Cameroon, Central African Republic, Chile, China, Hong Kong, Macao, Colombia, Democratic Republic of the Congo (Congo-Kinshasa), South Korea, Costa Rica, Ivory Coast, United Arab Emirates, Ecuador, Gabon, Georgia, Guatemala, Guinea-Bissau, Guinea Conakry, Honduras, India, Indonesia, Israel, Japan, Jordan, Kosovo, Laos, North Macedonia, Madagascar, Malaysia, Mali, Morocco, Mexico, Moldova, Montenegro, Nicaragua, Chatham Islands, New Zealand, Uzbekistan, Pakistan, Peru, Philippines, Puerto Rico, Russia, El Salvador, Senegal, Serbia, Singapore, Taiwan, Thailand, Tunisia, Turkey, Northern Cyprus (Turkish), Ukraine, Uruguay, Vietnam",holidayworldesim,holidayworldesim,Orange Worldwide (up to 20GB Data Allowance In Zone 1),20GB,30 days,15 International,20GB,50 International,30 days,13.35,13.35,26.7,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"BAHRAIN, EGYPT, NEW CALEDONIA, KENYA, KUWAIT, MAURITIUS, NEPAL, OMAN, PARAGUAY, QATAR, DOMINICAN REPUBLIC, SRI-LANKA.",holidayworldesim15gb,holidayworldesim15gb,Orange Worldwide (15GB Allowance In Zone 2),15GB,30 days,15 International,15GB,50 International,30 days,13.35,13.35,26.7,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"BOLIVIA, CONGO (CONGO-BRAZZAVILLE), ETHIOPIA, GHANA, JAMAICA, LIBERIA, MOZAMBIQUE, NIGER, NIGERIA, UGANDA, RWANDA,
SEYCHELLES, SIERRA LEONE, TANZANIA, CHAD, ZAMBIA.",holidayworldesim10gb,holidayworldesim10gb,Orange Worldwide (10GB Allowance In Zone 3),10GB,30 days,15 International,10GB,50 International,30 days,13.35,13.35,26.7,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"AZERBAIJAN, BRUNEI, FIJI, FRENCH POLYNESIA, IRAQ, LESOTHO, MAURITANIA, MONGOLIA, PALESTINE, PANAMA,
PAPUA NEW GUINEA, TONGA, VANUATU.",holidayworldesim5gb,holidayworldesim5gb,Orange Worldwide (5GB Allowance In Zone 4),5GB,30 days,10 International,5GB,50 International,30 days,13.35,13.35,26.7,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelerEUUnltd1Day,TravelerEUUnltd1Day,Unlimited Europe Data - 1 Day,Unlimited (FUP),1 day,N/A,Unlimited (FUP),N/A,1 day,3.3,3.3,6.6,GBP,"Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. 
QR Code Expiry: 12 months. 
",active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelerEUUnltd2Day,TravelerEUUnltd2Day,Unlimited Europe Data - 2 Days,Unlimited (FUP),2 days,N/A,Unlimited (FUP),N/A,2 days,3.9,3.9,7.8,GBP,"Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. 
QR Code Expiry: 12 months. 
",active
